ID,Start time,Completion time,Email,Name,Last modified time,Question,Please select the appropriate consent statement below.,How do you usually ride your skateboard?,"With which foot forward do you do your highest ollies on a skateboard?
","When you skate an obstacle with transition like a bowl or a half-pipe, which foot forward feels most comfortable?
",What foot forward do you feel the most safe riding fast down a hill on a skateboard?,"When you snowboard, which foot forward do you feel most comfortable carving down the mountain with?
","When you surf, which foot forward do you feel most comfortable when you ride a wave?
",Almost all of my friends (more than 90%) share my same stance.,"One or more of my parents share my same stance when they skateboard, snowboard, and/or surf.
","My favorite skateboarder has the same stance as me.
","I started skateboarding with a different stance than the one I have now.
","In recent memory, I recall seeing skateboarding magazine ads or online posts in skate-
boarding, and I have tried to figure out what stance they are.","I have the same stance whether I skate any obstacle, snowboard any hill, or surf any wave.","Usually, when you write with a pen or pencil, which hand do you use?","Usually, when you throw a ball, which hand do you use?
","Which hand do you feel more control when swinging a hammer?
","Usually, when you kick a ball into a goal, which foot do you use?
","Usually, when you sweep a floor from the side, which foot seems more naturally in front?
","If you were to step on a guitar pedal, which foot would you use?
","To stand on a chair, which foot do you use to get up on the chair?
",Take a moment to test your preferred eye. 1) Stretch your arms out in front of you and 2) with your hands make an O shaped hole and 3) line up the O shaped hole to frame an object. Which eye do yo...,Take a moment to pinpoint an object in the distance and align your thumb over it. Which eye do you need to close to do so?,How many years have you been skateboarding,"In the last few years, how often do you skateboard?",What would your say your skateboarding expertise level is?,Gender:,Race (Mark ONLY one with which you MOST CLOSELY identify),Age,Ethnicity (Mark ONLY one with which you MOST CLOSELY identify):,Residence Locality (Mark ONLY one with which you CURRENTLY live),Identity Locality (Mark ONLY one with which you IDENTIFY as your home locality)
177,5/3/24 15:00:51,5/3/24 15:06:00,anonymous,,,5/3/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,I do not surf enough to know,Disagree,I do not know,Disagree,Agree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always Right    ,Mostly Right    ,Left    ,Mostly Right    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
178,5/3/24 16:14:23,5/3/24 16:18:37,anonymous,,,5/3/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Mostly Right    ,Mostly Right    ,Always Right    ,I do not snowboard enough to know,Always Right    ,Strongly disagree,I do not know,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Right    ,Always Right    ,Always Right    ,Right    ,Always  Left,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,Europe;,North America;
179,5/3/24 17:18:02,5/3/24 17:22:49,anonymous,,,5/3/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Strongly disagree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Always Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Always Right    ,Mostly Left    ,Mostly Right    ,Left    ,Mostly Right    ,20+ years,Daily,Advanced (I can occasionally land complex tricks),Man,White,36-45,Hispanic or Latino,Europe;,Europe;
180,5/3/24 17:44:52,5/3/24 17:49:27,anonymous,,,5/3/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",I do not skateboard enough to know,I do not skateboard enough to know,I do not skateboard enough to know,Mostly Left    ,Always  Left,I do not do these activities enough to know,I do not know,I do not know the stance of my favorite skateboarder,Disagree,Disagree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always Right    ,Always Right    ,Left    ,Mostly Right    ,Less than a year,Never,Beginner (I cannot ride on a board),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
181,5/3/24 17:51:09,5/3/24 17:55:41,anonymous,,,5/3/2024,"I am not 18 years of age or older, and/or, I do not agree to participate.","Right foot in front, push with back left foot (goofy stance)",Mostly Left    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Strongly disagree,I do not know,Disagree,Neutral,Neutral,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Always Right    ,Always Right    ,Right    ,Always Right    ,11-20 years,Seasonal (summer),Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,Europe;,Europe;
182,5/3/24 18:25:01,5/3/24 18:31:15,anonymous,,,5/3/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Mostly Left    ,I do not surf enough to know,Disagree,I do not know,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Always  Left,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Left    ,Mostly Left    ,Left    ,Mostly Right    ,11-20 years,Every other week,Intermediate (I can occasionally land simple tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
183,5/3/24 19:34:00,5/3/24 19:54:11,anonymous,,,5/3/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,I do not know,Agree,Neutral,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Always Right    ,Always Right    ,Left    ,Always  Left,5-10 years,Weekly,Intermediate (I can occasionally land simple tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
184,5/3/24 20:11:58,5/3/24 20:15:21,anonymous,,,5/3/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Strongly disagree,Neutral,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Left    ,Always  Left,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
185,5/3/24 20:58:15,5/3/24 21:05:42,anonymous,,,,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Left    ,Always  Left,Always  Left,Mostly Left    ,Always  Left,Agree,I do not know,Neutral,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Mostly Right    ,Always Right    ,Mostly Left    ,Mostly Left    ,Mostly Left    ,Left    ,Always Right    ,11-20 years,Yearly,Intermediate (I can occasionally land simple tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
186,5/3/24 21:43:04,5/3/24 21:47:57,anonymous,,,5/3/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,I do not snowboard enough to know,I do not surf enough to know,Agree,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Agree,Strongly Agree,Always  Left,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Always Right    ,Both Equally    ,Right    ,Always  Left,3-5 years,Weekly,Intermediate (I can occasionally land simple tricks),Woman,More than one race,21-25,Not Hispanic or Latino,North America;,North America;
187,5/3/24 23:57:07,5/4/24 0:02:29,anonymous,,,5/3/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Left    ,Mostly Left    ,Always  Left,Always  Left,Always  Left,Neutral,Agree,Neutral,Strongly disagree,Neutral,Agree,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Mostly Left    ,Mostly Right    ,Mostly Left    ,Right    ,Always  Left,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
188,5/4/24 0:52:53,5/4/24 1:02:00,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Mostly Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,I do not know,Strongly Agree,Disagree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Left    ,Mostly Right    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,46-55,Hispanic or Latino,Europe;,Europe;
189,5/4/24 2:54:05,5/4/24 2:59:11,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Strongly disagree,I do not know,Neutral,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always  Left,Always  Left,Always  Left,Mostly Left    ,Right    ,Always  Left,20+ years,Weekly,Sponsored/Pro (I regularly receive skateboard products for free from companies),Man,White,26-35,Not Hispanic or Latino,Europe;,Europe;
190,5/4/24 3:08:26,5/4/24 3:13:17,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Mostly Right    ,Mostly Right    ,Always Right    ,I do not snowboard enough to know,I do not surf enough to know,Agree,I do not know,Neutral,Disagree,Agree,Agree,Always Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Left    ,Always  Left,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Unknown or not reported,Europe;,Europe;
191,5/4/24 3:14:08,5/4/24 3:18:35,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Right    ,Always Right    ,11-20 years,Daily,Advanced (I can occasionally land complex tricks),Man,Asian,21-25,Not Hispanic or Latino,Asia;,Asia;
192,5/4/24 3:07:44,5/4/24 3:38:23,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Always  Left,Always  Left,I do not surf enough to know,Neutral,I do not know,Neutral,Strongly disagree,Neutral,Strongly Agree,Always Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Both Equally    ,Mostly Right    ,Mostly Left    ,Left    ,Both Equally    ,20+ years,Never,Intermediate (I can occasionally land simple tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
193,5/4/24 8:41:13,5/4/24 8:49:55,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Mostly Left    ,Always  Left,Disagree,I do not know,Agree,Disagree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always  Left,Mostly Left    ,Always  Left,Right    ,Always Right    ,20+ years,Yearly,Intermediate (I can occasionally land simple tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
194,5/4/24 9:46:32,5/4/24 9:51:21,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,I do not surf enough to know,Agree,I do not know,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always  Left,Always Right    ,Always Right    ,Right    ,Always Right    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,Asian,46-55,Not Hispanic or Latino,North America;,North America;
195,5/4/24 11:19:02,5/4/24 11:23:17,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,I do not surf enough to know,Neutral,I do not know,Strongly disagree,Strongly disagree,Disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Right    ,Always Right    ,Left    ,Mostly Left    ,20+ years,Weekly,Expert (I can consistently land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
196,5/4/24 12:09:05,5/4/24 12:15:27,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,I do not know,Neutral,Disagree,Disagree,Agree,Always  Left,Mostly Left    ,Mostly Left    ,Both Equally    ,Both Equally    ,Mostly Left    ,Both Equally    ,Neither,Mostly Left    ,11-20 years,Daily,Sponsored/Pro (I regularly receive skateboard products for free from companies),Man,White,26-35,Not Hispanic or Latino,Europe;,Europe;
197,5/4/24 12:10:47,5/4/24 12:16:31,anonymous,,,12/22/1972,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Right    ,Mostly Left    ,Mostly Left    ,Mostly Left    ,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Mostly Left    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Always Right    ,Mostly Left    ,Neither,Mostly Left    ,20+ years,Weekly,Intermediate (I can occasionally land simple tricks),Man,White,46-55,Unknown or not reported,North America;,North America;
198,5/4/24 12:11:42,5/4/24 12:19:19,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Always  Left,Always  Left,I do not surf enough to know,Disagree,Strongly Agree,Neutral,Strongly disagree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Both Equally    ,Mostly Left    ,Right    ,Mostly Left    ,5-10 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,20 and under,Unknown or not reported,North America;,North America;
199,5/4/24 13:23:31,5/4/24 13:24:42,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,I do not surf enough to know,Disagree,I do not know,Agree,Strongly disagree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Right    ,Always Right    ,Left    ,Always  Left,5-10 years,Monthly,Advanced (I can occasionally land complex tricks),Non-binary,White,21-25,Not Hispanic or Latino,North America;,North America;
200,5/4/24 13:20:10,5/4/24 13:26:11,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Always  Left,Mostly Left    ,Always  Left,Neutral,I do not know,Strongly disagree,Strongly disagree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always Right    ,Mostly Right    ,Left    ,Always  Left,20+ years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
201,5/4/24 13:38:09,5/4/24 13:40:54,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Agree,Agree,Strongly disagree,Disagree,Disagree,Strongly Agree,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Both Equally    ,Right    ,Mostly Left    ,11-20 years,Daily,Expert (I can consistently land complex tricks),Man,White,26-35,Not Hispanic or Latino,Europe;,Europe;
202,5/4/24 13:53:21,5/4/24 14:03:44,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always  Left,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Neutral,I do not know,Neutral,Strongly disagree,Disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Right    ,Always Right    ,20+ years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
203,5/4/24 14:52:29,5/4/24 14:57:01,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with left right foot (regular mongo stance)",Always  Left,Mostly Left    ,Always  Left,Mostly Left    ,Always  Left,Neutral,I do not know,Agree,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Left    ,Mostly Right    ,Mostly Left    ,Right    ,Mostly Right    ,20+ years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
204,5/4/24 15:49:34,5/4/24 15:55:27,anonymous,,,8/3/1988,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Mostly Right    ,Always Right    ,Always Right    ,I do not surf enough to know,Disagree,I do not know,Neutral,Agree,Strongly disagree,Disagree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Right    ,Mostly Right    ,20+ years,Seasonal (summer),Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
205,5/4/24 16:03:08,5/4/24 16:10:49,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,I do not surf enough to know,I do not do these activities enough to know,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Always Right    ,Left    ,Always Right    ,3-5 years,Never,Novice (I can push around),Man,White,26-35,Hispanic or Latino,South America;,South America;
206,5/4/24 18:27:29,5/4/24 18:34:14,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Left    ,Mostly Left    ,Always  Left,I do not snowboard enough to know,I do not surf enough to know,Neutral,I do not know,Disagree,Disagree,Neutral,Neutral,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Left    ,Mostly Left    ,Mostly Left    ,Right    ,Always Right    ,20+ years,Weekly,Intermediate (I can occasionally land simple tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
207,5/4/24 19:03:34,5/4/24 19:08:44,anonymous,,,5/5/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",I do not skateboard enough to know,I do not skateboard enough to know,I do not skateboard enough to know,Always  Left,I do not surf enough to know,Strongly Agree,I do not know,Strongly disagree,Disagree,Agree,Strongly disagree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Neither,Both Equally    ,Less than a year,Yearly,Novice (I can push around),Woman,More than one race,26-35,Unknown or not reported,Asia;,South America;
208,5/4/24 21:31:54,5/4/24 21:35:56,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Left    ,Always  Left,Always  Left,Always  Left,Always  Left,Disagree,I do not know,I do not know the stance of my favorite skateboarder,Disagree,Agree,Agree,Always  Left,Always Right    ,Mostly Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Right    ,Mostly Left    ,20+ years,Weekly,Expert (I can consistently land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
209,5/4/24 21:30:57,5/4/24 21:38:22,anonymous,,,5/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,I do not surf enough to know,Disagree,I do not know,Neutral,Disagree,Strongly disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Always Right    ,Always Right    ,Always Right    ,Left    ,Both Equally    ,3-5 years,Daily,Intermediate (I can occasionally land simple tricks),Woman,White,21-25,Not Hispanic or Latino,North America;,North America;
210,5/4/24 21:35:52,5/4/24 21:41:32,anonymous,,,5/5/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly Agree,Always Right    ,Mostly Right    ,Always Right    ,Always  Left,Always  Left,Always  Left,Always  Left,Left    ,Always  Left,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,Europe;,Europe;
211,5/5/24 0:08:30,5/5/24 0:12:02,anonymous,,,5/5/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,Always  Left,Strongly disagree,I do not know,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Always Right    ,Mostly Right    ,Both Equally    ,Both Equally    ,Mostly Right    ,Both Equally    ,Both Equally    ,Right    ,Mostly Left    ,11-20 years,Seasonal (summer),Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
212,5/5/24 0:38:35,5/5/24 0:43:17,anonymous,,,10/12/1977,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Mostly Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,I do not know,Agree,Disagree,Agree,Agree,Always Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Both Equally    ,Mostly Right    ,Both Equally    ,Right    ,Always  Left,5-10 years,Monthly,Intermediate (I can occasionally land simple tricks),Man,White,46-55,Not Hispanic or Latino,Other;,North America;
213,5/5/24 9:54:08,5/5/24 9:57:24,anonymous,,,5/5/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,I do not snowboard enough to know,I do not surf enough to know,Neutral,I do not know,Disagree,Strongly disagree,Strongly Agree,Disagree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Always Right    ,,Right    ,Always Right    ,20+ years,Daily,Sponsored/Pro (I regularly receive skateboard products for free from companies),Non-binary,Black or African American,26-35,Not Hispanic or Latino,North America;,North America;
214,5/5/24 12:40:17,5/5/24 12:45:11,anonymous,,,5/5/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Left    ,Mostly Left    ,Always  Left,I do not snowboard enough to know,I do not surf enough to know,Neutral,I do not know,Agree,Disagree,Disagree,,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Right    ,Mostly Right    ,Right    ,Mostly Left    ,20+ years,Yearly,Intermediate (I can occasionally land simple tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
215,5/5/24 12:49:20,5/5/24 12:53:40,anonymous,,,5/5/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Agree,I do not know,Agree,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Left    ,Mostly Left    ,20+ years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
216,5/5/24 13:00:28,5/5/24 13:05:31,anonymous,,,1/7/1973,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,I do not surf enough to know,Neutral,I do not know,I do not know the stance of my favorite skateboarder,Disagree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always Right    ,Always Right    ,Left    ,Always  Left,20+ years,Yearly,Intermediate (I can occasionally land simple tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
217,5/5/24 18:49:59,5/5/24 18:57:55,anonymous,,,5/5/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,I do not surf enough to know,Neutral,I do not know,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Always  Left,Always  Left,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Left    ,Always Right    ,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
218,5/6/24 8:55:15,5/6/24 9:05:21,anonymous,,,5/6/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Mostly Right    ,Always Right    ,I do not snowboard enough to know,I do not surf enough to know,Disagree,I do not know,Disagree,Strongly disagree,Agree,Neutral,Mostly Right    ,Mostly Right    ,Mostly Right    ,Both Equally    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Neither,Mostly Left    ,20+ years,Monthly,Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,Europe;,Europe;
219,5/6/24 9:34:13,5/6/24 9:37:52,anonymous,,,5/6/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Left    ,Mostly Left    ,Mostly Left    ,I do not snowboard enough to know,Always  Left,I do not do these activities enough to know,I do not know,Strongly Agree,Strongly disagree,Agree,Agree,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Always  Left,Mostly Left    ,Mostly Right    ,Neither,Always  Left,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Non-binary,White,46-55,Not Hispanic or Latino,Europe;,Other;
220,5/6/24 13:02:30,5/6/24 13:08:49,anonymous,,,5/6/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Disagree,I do not know,Disagree,Disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Always  Left,Both Equally    ,Both Equally    ,Right    ,Always Right    ,20+ years,Daily,Expert (I can consistently land complex tricks),Man,White,26-35,Not Hispanic or Latino,Europe;,Europe;
221,5/6/24 16:19:32,5/6/24 16:26:11,anonymous,,,5/6/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",I do not skateboard enough to know,I do not skateboard enough to know,I do not skateboard enough to know,I do not snowboard enough to know,I do not surf enough to know,I do not do these activities enough to know,I do not know,I do not know the stance of my favorite skateboarder,I do not skateboard enough to know,Strongly disagree,Neutral,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Both Equally    ,Always Right    ,Left    ,Always  Left,Less than a year,Never,Beginner (I cannot ride on a board),Man,More than one race,26-35,Hispanic or Latino,South America;,South America;
